# repnum maxrepnum
1000 1000
# trueest_gibbs trueest_isamp
 8.10054 8.71852
# runtime var_gibbs var_isamp mean_gibbs mean_isamp mean_nsamp_gibbs mean_effsamp_isamp mean_nitt_gibbs mean_nitt_isamp
0.01 0.830969 13.2136 7.27219 10.4749 11024.5 1.3191 12024.5 481.059
0.0141254 0.741096 11.1411 7.30604 10.1853 16485.8 1.27245 17485.8 663.178
0.0199526 0.728814 10.5346 7.29429 10.0812 22497.8 1.30513 23497.8 885.862
0.0281838 0.653061 8.32227 7.33513 9.70337 32956.3 1.40611 33956.3 1284.56
0.0398107 0.616532 6.99491 7.35571 9.51059 45665 1.51677 46665 1765.87
0.0562341 0.560439 5.69197 7.39613 9.44776 65219.4 1.67985 66219.4 2513.92
0.0794328 0.52449 4.39573 7.42109 9.11808 91724.6 1.8153 92724.6 3535.61
0.112202 0.4517 3.56487 7.48213 8.93115 129611 2.02297 130611 4986.52
0.158489 0.347209 3.43163 7.57611 8.8226 180602 2.25809 181602 7001.62
0.223872 0.289898 2.56885 7.64156 8.68167 253873 2.62267 254873 9900.97
0.316228 0.210315 2.79961 7.73302 8.63391 355941 2.91242 356941 13947.3
0.446684 0.129118 2.14242 7.83696 8.50017 499776 3.30587 500776 19739.8
0.630957 0.0831237 1.8712 7.90893 8.48857 700220 3.85833 701220 27799.3
0.891251 0.0494124 2.1367 7.9928 8.48788 984216 4.26544 985216 39312.7
1.25893 0.0310187 1.72454 8.05091 8.44919 1.38111e+06 4.91127 1.38211e+06 55509.9
1.77828 0.0226175 2.07322 8.09346 8.55355 1.9447e+06 5.69758 1.9457e+06 78523.8
2.51189 0.0206903 2.03413 8.10812 8.57046 2.7374e+06 6.42996 2.7384e+06 110724
3.54813 0.0184726 2.10378 8.12665 8.58093 3.85702e+06 6.97462 3.85802e+06 156687
5.01187 0.0185024 2.09834 8.11937 8.65848 5.44044e+06 7.69313 5.44144e+06 221092
7.07946 0.0166765 2.30983 8.11179 8.703 7.676e+06 7.91622 7.677e+06 312337
10 0.0149016 2.13637 8.10054 8.71852 1.08468e+07 8.08046 1.08478e+07 441270
